,subject,summary,press,wdate,link
0,다단계 의심받던 시골 회사의 반전…'800억 부자' 된 아빠와 딸 [윤현주의 主食이 주식],백문불여일견(百聞不如一見). 백 번 듣는 것보다 한 번 보는 게 낫다는 말이다. 가짜뉴스 홍수 속 정보의 불균형을 조금이라도,한국경제 ,2025-08-10 07:01:13,/news/news_read.naver?article_id=0005168753&office_id=015&mode=mainnews&type=&date=2025-08-10&page=5
1,"경기 불안한데 상하이 지수 최고치 경신, 왜?…“희토류 패권 쥔 중국, 투자 매력 부각” [투자360]",7일 상하이종합지수 3639.67…연초 대비 27% 상승 중국 경기 둔화에도 최고점…신흥국 중 ‘상대적 매력’ 부각 중국,헤럴드경제 ,2025-08-10 07:00:20,/news/news_read.naver?article_id=0002512132&office_id=016&mode=mainnews&type=&date=2025-08-10&page=5
2,달러 약세 흐름 지속…미 CPI 대기하며 방향성 탐색[주간외환전망],이번 주 외환 시장은 미국 7월 소비자물가지수(CPI) 발표를 주시하며 미국 연방준비제도(Fed·연준)의 기준금리 인하 속도를,이데일리 ,2025-08-10 07:00:17,/news/news_read.naver?article_id=0006086277&office_id=018&mode=mainnews&type=&date=2025-08-10&page=5
3,관세 리스크에 M&A 지형도 재편…산업별 ‘엇갈린 성적표’ [투자360],의류·여행업 침체…미주 중심 재편 하반기 운송·물류 불확실성 지속 [헤럴드경제=노아름 기자] 도널드 트럼프 미국 대통령이,헤럴드경제 ,2025-08-10 07:00:13,/news/news_read.naver?article_id=0002512130&office_id=016&mode=mainnews&type=&date=2025-08-10&page=5
4,잭슨홀 테이블에 올라갈 CPI…경계심 고조[뉴욕증시-주간전망],진정호 연합인포맥스 특파원 = 이번 주 뉴욕증시는 물가지표가 향방을 좌우하는 관건이 될 것으로 보인다. 지난,연합뉴스 ,2025-08-10 07:00:00,/news/news_read.naver?article_id=0015557407&office_id=001&mode=mainnews&type=&date=2025-08-10&page=5
5,"새내기주는 '따블', 대어는 '쑥'…다시 부는 공모주 열기",최근 국내 주식시장에 입성한 코스피와 코스닥 새내기주에 연일 훈풍이 분다. 이번주(8월11일~15일)에는 기술력이 유망한,머니투데이 ,2025-08-10 07:00:00,/news/news_read.naver?article_id=0005233692&office_id=008&mode=mainnews&type=&date=2025-08-10&page=5
6,"""코스피 더 간다?""…7월 차익 실현한 개미들, 8월 다시 '컴백'",코스피 랠리 후 차익실현에 나섰던 개미(개인투자자)들이 다시 돌아왔다. 10일 한국거래소에 따르면 개인투자자들은 이재명 정부가,뉴스1 ,2025-08-10 07:00:00,/news/news_read.naver?article_id=0008419893&office_id=421&mode=mainnews&type=&date=2025-08-10&page=5
7,하루 만에 168% 폭등…개미들 몰린 '이곳' 뭐길래,새내기주가 증시 상장 첫날 줄줄이 급등하면서 단기 투자처로 떠오르고 있다. 9일 한국거래소에 따르면 지난 7일 코스닥시장에,한국경제 ,2025-08-10 06:48:16,/news/news_read.naver?article_id=0005168752&office_id=015&mode=mainnews&type=&date=2025-08-10&page=5
8,"관세 충격에도 선방 평가 속…토요타, 실적 발표 하루 만에 주가 반등",일본 토요타자동차가 미국발(發) 관세 충격에도 올해 회계연도 실적 전망 하향 폭을 최소화하며 선방했다는 평가를 받고 있다.,이데일리 ,2025-08-10 06:30:14,/news/news_read.naver?article_id=0006086275&office_id=018&mode=mainnews&type=&date=2025-08-10&page=5
9,"“美 조선업 부활” 외친 트럼프…실제 수혜는 HD현대중공업·한화오션, 이유는? [투자360]","미국 내 조선소 노후화·인력 공백 심화 중국 견제 위해 ‘美 조선업 재건’ 판단 ‘마스가’, 해양 방산 중심으로 국내 조선사",헤럴드경제 ,2025-08-10 06:30:13,/news/news_read.naver?article_id=0002512129&office_id=016&mode=mainnews&type=&date=2025-08-10&page=5
10,코스피도 '유커 특수' 덕 좀 볼까…커지는 '한한령 해제' 기대감,다음달 말부터 중국 단체 관광객의 무비자 입국이 다시 열리면서 '유커(중국 관광객) 특수' 테마주가 들썩이고 있다. 10월,뉴스1 ,2025-08-10 06:21:47,/news/news_read.naver?article_id=0008419862&office_id=421&mode=mainnews&type=&date=2025-08-10&page=5
11,서학개미 덕에 상반기 배당소득 흑자 역대 최대…1년 새 88%↑,105.5억달러 흑자…증권투자 배당수입 9년째 최대 기록 경신 해외 생산시설 투자 늘어 직접투자 수입도 1년 새 11.3%↑,연합뉴스 ,2025-08-10 06:07:01,/news/news_read.naver?article_id=0015557376&office_id=001&mode=mainnews&type=&date=2025-08-10&page=5
12,한 고비 넘겼지만… 트럼프發 변동성 주의보[주간증시전망],"美 품목 관세 세부 내용 공개할 듯 미·러 정상회담도 열릴 수 있어 당정, 세제 개편안 논의 결과도 주목 이재명 정부의 첫",조선비즈 ,2025-08-10 06:01:48,/news/news_read.naver?article_id=0001099217&office_id=366&mode=mainnews&type=&date=2025-08-10&page=5
13,"한라캐스트, 공모가 ‘상단’ 5800원 확정…11~12일 청약",경량 소재부품 전문기업 한라캐스트가 코스닥 상장을 앞두고 국내외 기관투자자를 대상으로 진행한 수요예측에서 공모가를,이데일리 ,2025-08-10 06:01:21,/news/news_read.naver?article_id=0006086270&office_id=018&mode=mainnews&type=&date=2025-08-10&page=5
14,"에스엔시스, 일반청약 경쟁률 1472대 1…증거금 10.4조원 모여",조선 기자재 통합 솔루션 기업 에스엔시스가 지난 7~8일 양일간 일반 투자자를 대상으로 진행한 공모주 청약에서 1472대,이데일리 ,2025-08-10 06:01:19,/news/news_read.naver?article_id=0006086269&office_id=018&mode=mainnews&type=&date=2025-08-10&page=5
15,"하이브 상폐설 부른 '방시혁 리스크' 끝?…""내년 빅사이클 온다""",방시혁 의장 리스크로 조정을 받았던 하이브 주가가 최근 들어 리스크 해소 조짐을 보인다. 증권가에서는 방 의장 이슈는 이미,머니투데이 ,2025-08-10 06:00:00,/news/news_read.naver?article_id=0005233680&office_id=008&mode=mainnews&type=&date=2025-08-10&page=5
16,"""국장이 대세라더니"" 수익률 33%…국내ETF, '0.9%' 해외형 압도",올해 들어 국내 주식시장이 상승세를 타고 있는 가운데 ETF(상장지수펀드)도 국내주식형과 해외주식형의 수익률이 엇갈렸다.,머니투데이 ,2025-08-10 06:00:00,/news/news_read.naver?article_id=0005233679&office_id=008&mode=mainnews&type=&date=2025-08-10&page=5
17,"“코스피 5000 간대, 그런데 세금은 더 내라고!?”…세제 개편안에 개미들 ‘울상’[K주식, 이걸 사? 말아?]","한 주 간 국내 주식시장, 정치권 안팎에선 정말 많은 일들이 있었습니다. 정부가 ‘2025년 세제 개편안’을 발표했는데,",매일경제 ,2025-08-10 05:51:09,/news/news_read.naver?article_id=0005538829&office_id=009&mode=mainnews&type=&date=2025-08-10&page=5
18,"비상장법인 대표 ""해외 이주 시 보유 주식 세금 내야 한다는데..."" [세무 재테크 Q&A]",비상장법인 대표 A씨는 최근 싱가포르 이민을 고민하고 있다. 국내에서 사업이 잘 되고는 있지만 자녀들이 사업을 승계할 생각이,파이낸셜뉴스 ,2025-08-10 05:00:21,/news/news_read.naver?article_id=0005389292&office_id=014&mode=mainnews&type=&date=2025-08-10&page=5
19,버핏 프리미엄 끝났다는데…진짜 이유는 따로 있었다 [빈난새의 빈틈없이월가],이 기사는 국내 최대 해외 투자정보 플랫폼 한경 글로벌마켓에 게재된 기사입니다. 지난 1일 고용 데이터의 충격이 무색하게 미국,한국경제 ,2025-08-10 04:58:15,/news/news_read.naver?article_id=0005168749&office_id=015&mode=mainnews&type=&date=2025-08-10&page=5
