순위,곡 제목,아티스트 명,앨범 명,좋아요
1,Blue Valentine,NMIXX,Blue Valentine,"70,252"
2,Golden,HUNTR/X,KPop Demon Hunters (Soundtrack from the Netflix Film),"182,821"
3,타임캡슐,다비치,타임캡슐,"23,292"
4,Drowning,WOODZ,OO-LI,"265,637"
5,Good Goodbye,화사 (HWASA),Good Goodbye,"22,910"
6,뛰어(JUMP),BLACKPINK,뛰어(JUMP),"84,999"
7,SPAGHETTI (feat. j-hope of BTS),LE SSERAFIM (르세라핌),SPAGHETTI,"18,117"
8,Soda Pop,KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),"112,016"
9,어제보다 슬픈 오늘,우디 (Woody),어제보다 슬픈 오늘,"67,812"
10,IRIS OUT,Kenshi Yonezu,IRIS OUT,"47,656"
11,FAMOUS,ALLDAY PROJECT,FAMOUS,"119,928"
12,시작의 아이 ❍,박다혜,시작의 아이 ❍ ハジマリのコ Starting With You : ♡,"57,156"
13,Hollywood Action,BOYNEXTDOOR,The Action,"38,112"
14,Rich Man,aespa,Rich Man - The 6th Mini Album,"45,600"
15,XOXZ,IVE (아이브),IVE SECRET,"45,531"
16,모르시나요(PROD.로코베리),조째즈,모르시나요,"98,039"
17,달리 표현할 수 없어요,로이킴,달리 표현할 수 없어요,"11,447"
18,한번 더 이별,이창섭,한번 더 이별 (첫사랑 엔딩 X 이창섭),"25,479"
19,운명 (2025),먼데이 키즈,먼키의 발자국 Vol.1 With 이이경,"29,209"
20,너에게 닿기를,10CM,너에게 닿기를,"135,948"
21,body,다영 (DAYOUNG),"gonna love me, right?","37,226"
22,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,"85,162"
23,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)","223,180"
24,Whiplash,aespa,Whiplash - The 5th Mini Album,"148,183"
25,시작의 아이,마크툽 (MAKTUB),시작의 아이 ハジマリのコ (Starting With You),"79,647"
26,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),"138,670"
27,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,"489,010"
28,나는 반딧불,황가람,나는 반딧불,"154,458"
29,toxic till the end,로제 (ROSÉ),rosie,"131,410"
30,청춘만화,이무진,만화 (滿花),"87,978"
31,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,"170,119"
32,HAPPY,DAY6 (데이식스),Fourever,"205,305"
33,멸종위기사랑,이찬혁,EROS,"49,616"
34,like JENNIE,제니 (JENNIE),Ruby,"99,574"
35,Dirty Work,aespa,Dirty Work,"65,591"
36,APT.,로제 (ROSÉ),APT.,"218,243"
37,Never Ending Story,아이유,꽃갈피 셋,"78,976"
38,Your Idol,KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),"67,463"
39,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,"189,471"
40,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,"361,883"
41,FOCUS,Hearts2Hearts (하츠투하츠),FOCUS - The 1st Mini Album,"16,306"
42,Flower,오반(OVAN),교회오빠,"72,962"
43,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"233,630"
44,STYLE,Hearts2Hearts (하츠투하츠),STYLE,"44,029"
45,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"438,321"
46,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"313,121"
47,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),"162,291"
